platform,keyword,tag_label,title,author,fans,date,digg,comment,share,collect,play,url
抖音,鳜鱼价格,行情,科普分享26种溪流鱼以及价格，你都吃过哪几种#鱼#鱼价#科普,奇妙大百科,"146,132",2026-06-15,17925,738,12283,"15,261",0,https://www.iesdouyin.com/share/video/7651636236453470436/?region=US&mid=7651636244220611374&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=YoxB1dXOwKUkHWeI7ij3eK3Ck3PnuxJd.3dUB.rekZI-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,你敢相信吗？同一条鱼，在东北下馆子叫鳌花鱼，两三百一条，结果到了南方菜市场，改名叫鳜鱼，四五十块钱一斤，摊主还得扯着嗓子叫你买，生怕卖不出去?#科普 #生物科普 #鳜鱼,梦甜小荔枝,"17,613",2026-07-25,749,736,73,186,0,https://www.iesdouyin.com/share/video/7666375676413811578/?region=US&mid=7666375677180332843&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=F0GYdxjlFVT_N4FTIYj2YdDe_LkAMSrfxc129cJlRAI-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,日常生活vlog:浙江男人下班给老婆露一手!今天给老婆做了鳜鱼河虾一锅鲜，江南的春天，就得吃点鲜掉眉毛的！#我的厨房日记 #记录真实生活  #浙江美食 #用这一口代表春天 #不负江南好春光的春日美食,睿爸一家,"44,910",2026-03-17,741,73,210,130,0,https://www.iesdouyin.com/share/video/7618122418406735790/?region=US&mid=7618122471807945535&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=PZmJaNUTGGUsBC_3gP4aAAXtateNPnhKlXBmsGKEIbI-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,#鳜鱼行情#鳜鱼养殖#鲈鱼鳜鱼黄颡鱼特种鱼养殖#鲈鱼养殖,渔满塘,"6,079",2026-07-31,277,7,10,40,0,https://www.iesdouyin.com/share/video/7668638759604724389/?region=US&mid=7668638678805564200&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=PzSFjWNuXqLwdjOibaNcGKegNFZtJcenfb5MPQVV3EU-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,鳜鱼价格最高涨2元/斤！多地存塘告急，广东小鱼爽市 #鳜鱼价格 #鳜鱼行情 #鳜鱼养殖 #水产养殖 #鱼价行情,老陈讲水产,"3,172",2026-07-17,29,3,11,10,0,https://www.iesdouyin.com/share/video/7663264749450489262/?region=US&mid=7663264717259262729&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=jA7mXrfMqNI990pGRQNee68gw37pPRJK_lsb6VQJV1Y-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,鳜鱼：广东新鱼上市多跌1元/斤，外省多地存塘见底，最高涨2元 #鳜鱼价格 #鳜鱼行情 #鳜鱼养殖 #水产养殖 #鱼价行情,老陈讲水产,"3,172",2026-08-17,27,4,11,6,0,https://www.iesdouyin.com/share/video/7674767776929934491/?region=US&mid=7674767661246548774&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=de2wKFiWhqlED4hsZqJiPuRdwWtRJsSwOlhUbO7vUOI-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鳜鱼价格,鳜鱼,全国鳜鱼近期鱼价#鲈鱼鳜鱼黄颡鱼特种鱼养殖  #水产养殖 #养殖技术 #抖音助农 #鱼价,郭探长水产养殖,"6,640",2026-05-21,27,7,5,3,0,https://www.iesdouyin.com/share/video/7642271983484985755/?region=US&mid=7642271967780817706&u_code=0&did=MS4wLjABAAAA7smZTnY9izTqHAclC5BkqZfOuACOAbj-CpuKY6kELoyIZYoHGg9TklXMw0LT8bWT&iid=MS4wLjABAAAA_GdGSpT3FkHOlCWfH1M2p7gp9ao25Kye8BpfYyb7NbFdlh0j_2-bp6HxLNHCPj0x&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=9tx4PAsiOVna9PyCK9kTJuJ48w3Z6KkW5F9tc1HNF84-&share_version=320900&ts=1788168417&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鲈鱼价格,行情,科普分享62种淡水鱼类以及价格，你都吃过哪几种#鱼价行情 #淡水鱼 #科普,奇妙大百科,"146,132",2026-06-21,38518,2457,15110,"30,343",0,https://www.iesdouyin.com/share/video/7653809227445706153/?region=US&mid=7653809210513476361&u_code=0&did=MS4wLjABAAAAGBgo4KlQohT061TKKywIWc0uxyNFH7Y4F4T7hCHZxybQaGEAKad6EHj-kf6hhyxQ&iid=MS4wLjABAAAAMU6SFYKOwKhfzDU-fqeXGJS8W3wmg01YBBj5ABGK8WeppkVl5WCWrPi72TX9YgPQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=Jq7iO5b.6QyWoMX3F23HIGIx8WL0cu9qiK0LYzQqc5s-&share_version=320900&ts=1788168421&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鲈鱼价格,行情,我国最受欢迎的十种淡水鱼#鱼 #淡水鱼 #家鱼 #科普,科大侠,"78,885",2026-04-05,2610,89,295,893,0,https://www.iesdouyin.com/share/video/7625121907137842473/?region=US&mid=7625121948388887322&u_code=0&did=MS4wLjABAAAAGBgo4KlQohT061TKKywIWc0uxyNFH7Y4F4T7hCHZxybQaGEAKad6EHj-kf6hhyxQ&iid=MS4wLjABAAAAMU6SFYKOwKhfzDU-fqeXGJS8W3wmg01YBBj5ABGK8WeppkVl5WCWrPi72TX9YgPQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=Y.iEH3B5AmWvu4bPrAdYFzU1X2M67PrZWcRbw8AlN4M-&share_version=320900&ts=1788168421&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鲈鱼价格,行情,给大家报一下今日海鲜价格#海鲜当然是现捞的最新鲜 #创作者中心 #创作灵感 #南宁,小利在南宁卖海鲜,"7,185",2026-07-27,1017,221,555,229,0,https://www.iesdouyin.com/share/video/7667044080496716261/?region=US&mid=7667044024557439744&u_code=0&did=MS4wLjABAAAAGBgo4KlQohT061TKKywIWc0uxyNFH7Y4F4T7hCHZxybQaGEAKad6EHj-kf6hhyxQ&iid=MS4wLjABAAAAMU6SFYKOwKhfzDU-fqeXGJS8W3wmg01YBBj5ABGK8WeppkVl5WCWrPi72TX9YgPQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=l2s6eMFYg2thdsSOT6cgqBCy2jjMY5.Kgpap2n_Jd_E-&share_version=320900&ts=1788168421&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
抖音,鲈鱼价格,鳜鱼,"3月19最新鱼价
#四大家鱼 #鲈鱼 #草鱼 #鳜鱼#鮰鱼",晓玥,"3,382",2026-03-19,415,12,28,150,0,https://www.iesdouyin.com/share/video/7618736882240040034/?region=US&mid=7550363218646468671&u_code=0&did=MS4wLjABAAAAGBgo4KlQohT061TKKywIWc0uxyNFH7Y4F4T7hCHZxybQaGEAKad6EHj-kf6hhyxQ&iid=MS4wLjABAAAAMU6SFYKOwKhfzDU-fqeXGJS8W3wmg01YBBj5ABGK8WeppkVl5WCWrPi72TX9YgPQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=uca1bVFM781jP6Qyw2ly2d.zS8i57HM1BxwOU9rV32M-&share_version=320900&ts=1788168421&from_aid=615883&from_ssr=1&share_track_info=%7B%22link_description_type%22%3A%22%22%7D
