年份,月份,品种,样本数,月均价_元斤,月均价_元公斤,最低_元斤,最高_元斤,口径
2024,1,鳜鱼,23,37.67,75.35,36.0,40.5,北京新发地批发价(元/斤)
2024,1,鲈鱼,46,15.12,30.24,15.0,15.5,北京新发地批发价(元/斤)
2024,2,鳜鱼,18,40.25,80.5,37.5,41.5,北京新发地批发价(元/斤)
2024,2,鲈鱼,36,15.99,31.97,15.0,18.0,北京新发地批发价(元/斤)
2024,3,鳜鱼,21,36.21,72.43,36.0,37.5,北京新发地批发价(元/斤)
2024,3,鲈鱼,42,15.67,31.33,15.0,16.0,北京新发地批发价(元/斤)
2024,4,鳜鱼,23,42.15,84.3,36.5,47.0,北京新发地批发价(元/斤)
2024,4,鲈鱼,46,16.51,33.01,15.5,19.75,北京新发地批发价(元/斤)
2024,5,鳜鱼,23,49.13,98.26,47.5,52.0,北京新发地批发价(元/斤)
2024,5,鲈鱼,46,18.47,36.93,14.0,24.5,北京新发地批发价(元/斤)
2024,6,鳜鱼,21,50.45,100.9,49.5,51.5,北京新发地批发价(元/斤)
2024,6,鲈鱼,42,18.96,37.93,13.5,24.5,北京新发地批发价(元/斤)
2024,7,鳜鱼,23,58.2,116.39,50.5,65.0,北京新发地批发价(元/斤)
2024,7,鲈鱼,46,19.63,39.26,13.5,24.5,北京新发地批发价(元/斤)
2024,8,鳜鱼,22,54.89,109.77,42.5,62.0,北京新发地批发价(元/斤)
2024,8,鲈鱼,44,21.21,42.42,16.0,25.75,北京新发地批发价(元/斤)
2024,9,鳜鱼,21,42.17,84.33,41.5,42.5,北京新发地批发价(元/斤)
2024,9,鲈鱼,42,22.16,44.32,17.0,30.5,北京新发地批发价(元/斤)
2024,10,鳜鱼,23,39.3,78.61,38.0,41.5,北京新发地批发价(元/斤)
2024,10,鲈鱼,46,22.33,44.65,17.5,27.5,北京新发地批发价(元/斤)
2024,11,鳜鱼,21,35.19,70.38,33.5,38.0,北京新发地批发价(元/斤)
2024,11,鲈鱼,42,19.42,38.85,17.5,24.5,北京新发地批发价(元/斤)
2024,12,鳜鱼,22,31.82,63.64,29.5,33.5,北京新发地批发价(元/斤)
2024,12,鲈鱼,44,17.69,35.39,15.0,20.5,北京新发地批发价(元/斤)
2025,1,鳜鱼,20,29.8,59.6,29.5,32.5,北京新发地批发价(元/斤)
2025,1,鲈鱼,40,17.02,34.05,15.0,20.0,北京新发地批发价(元/斤)
2025,2,鳜鱼,19,29.21,58.42,29.0,31.0,北京新发地批发价(元/斤)
2025,2,鲈鱼,38,17.78,35.55,16.0,19.5,北京新发地批发价(元/斤)
2025,3,鳜鱼,21,28.71,57.43,28.5,29.0,北京新发地批发价(元/斤)
2025,3,鲈鱼,42,17.38,34.76,14.0,19.75,北京新发地批发价(元/斤)
2025,4,鳜鱼,22,29.14,58.27,28.5,31.0,北京新发地批发价(元/斤)
2025,4,鲈鱼,44,17.76,35.51,13.5,24.75,北京新发地批发价(元/斤)
2025,5,鳜鱼,22,37.41,74.82,29.0,48.0,北京新发地批发价(元/斤)
2025,5,鲈鱼,44,22.02,44.05,16.0,28.5,北京新发地批发价(元/斤)
2025,6,鳜鱼,21,40.14,80.29,39.0,41.0,北京新发地批发价(元/斤)
2025,6,鲈鱼,42,22.64,45.27,17.0,28.5,北京新发地批发价(元/斤)
2025,7,鳜鱼,23,39.11,78.22,39.0,39.5,北京新发地批发价(元/斤)
2025,7,鲈鱼,46,22.33,44.65,17.0,27.5,北京新发地批发价(元/斤)
2025,8,鳜鱼,21,42.38,84.76,37.5,44.0,北京新发地批发价(元/斤)
2025,8,鲈鱼,42,22.33,44.67,18.0,27.5,北京新发地批发价(元/斤)
2025,9,鳜鱼,23,59.13,118.26,47.5,67.5,北京新发地批发价(元/斤)
2025,9,鲈鱼,46,21.24,42.48,17.5,25.5,北京新发地批发价(元/斤)
