source,article_date,price_date,species,market,spec,price,unit,note
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,江苏苏州南环桥农副产品批发市场,500≤条重<750g,89.5,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,广州黄沙水产交易市场有限公司,条重≥750g,60.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,江苏凌家塘市场发展有限公司,500≤条重<750g,78.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,湖北黄冈硕源水产品批发市场,250≤条重<500g,84.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,湖北黄冈硕源水产品批发市场,500≤条重<750g,94.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,湖北黄冈硕源水产品批发市场,条重≥750g,86.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,乌鲁木齐北园春果业经营有限责任公司,500≤条重<750g,50.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,鳜鱼（桂花鱼）,江苏苏州南环桥农副产品批发市场,250≤条重<500g,76.5,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,广州黄沙水产交易市场有限公司,条重≥500g,26.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,中国供销上饶农产品交易城,条重≥500g,25.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,湖州菱湖乌板桥水产品批发市场,条重≥500g,25.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,湖州菱湖乌板桥水产品批发市场,条重<500g,21.4,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,上海江阳水产品批发交易市场经营管理有限公司,条重≥500g,24.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,上海江杨水产品批发市场经营管理有限公司,条重≥500g,30.0,元/千克,
科学养鱼,2026-08-18,2026-08-18,加州鲈鱼,两湖绿谷淡水鱼市场,条重≥500g,22.7,元/千克,
科学养鱼,2026-08-18,2026-08-18,青鱼,湖北黄冈硕源水产品批发市场,条重<2000g,14.1,元/千克,
科学养鱼,2026-08-18,2026-08-18,青鱼,湖北黄冈硕源水产品批发市场,条重≥2000g,15.4,元/千克,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,广东地区,小鳜（0.8斤以下）,31.0,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,广东地区,标鳜（0.8-1.5斤）,46.0,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,广东地区,中鳜（1.5斤以上）,42.0,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,湖北地区,标鳜,41.0,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,安徽地区,标鳜,39.0,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,江西地区,标鳜,38.5,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,湖南地区,标鳜,38.5,元/斤,
a渔业行情,2026-08-10,2026-08-09,鳜鱼,江苏地区,标鳜,39.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,南海九江,统货,9.8,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,南海九江,1斤以上,9.8,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,珠海金湾,1斤,9.7,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,珠海金湾,1.3斤,10.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,福建漳州,0.8-1.5斤,11.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,龙岩上杭,8两以上,12.7,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,湖南钱粮湖,8两上,11.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,湖北白沙洲,9两上,11.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,成都邛崃,9两起,,元/斤,无报价
a渔业行情,2026-08-10,2026-08-11,加州鲈,成都邛崃,1斤,15.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,眉山东坡,9两起,,元/斤,无报价
a渔业行情,2026-08-10,2026-08-11,加州鲈,河南郑州,1斤起,11.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,江苏吴江,9两起,11.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,江苏高邮,1斤,9.8,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,江苏高邮,1.1斤,10.2,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,江苏高邮,1.2斤,10.5,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,浙江湖州,8两起,11.0,元/斤,
a渔业行情,2026-08-10,2026-08-11,加州鲈,浙江湖州,统货,10.5,元/斤,
